,Bintang,Pengguna,Komen,Tanggal
844,Rated 5 stars out of five stars,dilli rochmawati,"murah, segar, banyak pilihan","July 9, 2019"
845,Rated 5 stars out of five stars,Arnaz Nawi,"Keren, mudah penggunaannya","August 31, 2019"
846,Rated 5 stars out of five stars,Ai & Py Stories,Memudahkan hidup sekali 🤩,"September 14, 2019"
847,Rated 1 stars out of five stars,olivia sumtaky,saya revisi review. customer satisfaction kurang diperhatikan. saya uninstall aplikasi.,"August 3, 2019"
848,Rated 5 stars out of five stars,Irwan Effendi,Sangat bermanfaat untuk mendapatkan sayuran segar berkualitas optimal,"August 28, 2019"
849,Rated 5 stars out of five stars,togi,Sayur dan buahnya segar...,"July 27, 2019"
850,Rated 5 stars out of five stars,Dedeh Pramita,semua bhannya seger2,"July 19, 2019"
851,Rated 5 stars out of five stars,Debby Suryaningrum,sukak dan membantu,"August 8, 2019"
852,Rated 5 stars out of five stars,camelia septiyati,Oke pake bgt,"August 24, 2019"
853,Rated 5 stars out of five stars,agnes Wiraraharja,Bagus n mudah,"September 7, 2019"
854,Rated 5 stars out of five stars,rina elviana,Pengiriman cepat sekali,"September 21, 2019"
855,Rated 3 stars out of five stars,Michelle Rachell,Blm mencakup jateng,"September 21, 2019"
856,Rated 5 stars out of five stars,Chris Tian,Buah ny enak,"October 4, 2019"
857,Rated 5 stars out of five stars,Loris Marita,Sangat mudah digunakan,"October 23, 2019"
858,Rated 5 stars out of five stars,Coni Apriani,oke sangat membantu..,"August 13, 2019"
859,Rated 5 stars out of five stars,Andini Kurnia Putri,"PUAS BLANJA DISINI ,PELAYANAN & PRODUKNYA JUARA !!! SUKSES SLALUU ♥️♥️♥️","August 28, 2019"
860,Rated 5 stars out of five stars,vini simatupang,"Nyampe tepat waktu, buah dan sayurnya fresh","September 8, 2019"
861,Rated 2 stars out of five stars,Yuli Yanti,"memberi diskon 35rb minimal 150 rb tapi setiap sudah 150 rb sllu tiba2 keluar otomatis. hrs saya ulang2 trs tp sama juga. buang2 waktu saya. lalu setelah dicoba2 lagi, ternyata harga ada yang naik.. yang tadi 72 (kmrn 69rb) sekarang 100rb an. kaya Kurs cepet banget berubahnya.. haizz mending beli di...
Full Review","August 8, 2019"
862,Rated 5 stars out of five stars,Syara Saf,great! belanja jadi mudah dan menyenangkan,"October 17, 2019"
863,Rated 5 stars out of five stars,Iqrafia Ashna,murah meriah~,"July 24, 2019"
864,Rated 5 stars out of five stars,Adzinta Umara,semoga selalu banyak promo yaa...very helpful,"August 16, 2019"
865,Rated 5 stars out of five stars,Jerry Luntung,Cari buah2an jadi lebih gampang TOP,"July 10, 2019"
866,Rated 4 stars out of five stars,Yehezkiel Ezra Juliano Rotty,di Surabaya dong 😁😁🙏🙏,"August 14, 2019"
867,Rated 5 stars out of five stars,black kreebo,Nice app .. brg bagus harga murah,"September 28, 2019"
868,Rated 5 stars out of five stars,Veros Alvariz,"belanja sayur , mudah , murah, fresh and cheap!","August 7, 2019"
869,Rated 5 stars out of five stars,witri suryanti,ok..mantullll,"August 10, 2019"
870,Rated 5 stars out of five stars,dea ajeng inten,semua fresh akan jadi langganan😃,"August 13, 2019"
871,Rated 5 stars out of five stars,Rindhy Utami Muris,super great dan mempermudah banget,"August 10, 2019"
872,Rated 5 stars out of five stars,martha dahliawati,Lebih simple langsung sampe rumah,"September 8, 2019"
873,Rated 5 stars out of five stars,Pratita Kusuma,sip bgt,"July 19, 2019"
874,Rated 5 stars out of five stars,M Irene,sangat baik,"August 9, 2019"
875,Rated 5 stars out of five stars,syarif hidayatullah,sangat membantu,"August 16, 2019"
876,Rated 5 stars out of five stars,Muhammad Riza,sangat membantu,"August 20, 2019"
877,Rated 5 stars out of five stars,Nunik Pujiani,buahnya bagus2,"August 30, 2019"
878,Rated 5 stars out of five stars,Tieka Kartika,Membantu bgt,"September 9, 2019"
879,Rated 5 stars out of five stars,mila ahgase,Thank you,"September 9, 2019"
880,Rated 5 stars out of five stars,yaniie pandaa,Thankyou sayurbox,"September 24, 2019"
881,Rated 4 stars out of five stars,Deka Kusumawardani,Pelayanan bagus,"September 29, 2019"
882,Rated 5 stars out of five stars,Zul Fahmi,Sangat membantu,"October 3, 2019"
883,Rated 5 stars out of five stars,Deuis Ganiati,Saladnya eunakkkkkk,"October 9, 2019"
884,Rated 5 stars out of five stars,Siti Zubaidah,Ok bgt,"October 15, 2019"
885,Rated 4 stars out of five stars,yuanita wulandari,Sering hang,"October 21, 2019"
886,Rated 2 stars out of five stars,Hardiant Rahmat,Wav N,"March 7, 2020"
887,Rated 5 stars out of five stars,Amoed Oke,sangat sangat membantu,"August 18, 2019"
888,Rated 5 stars out of five stars,asriyanti winda,good application!,"July 15, 2019"
889,Rated 5 stars out of five stars,nirmala soedradjat,Good service!!,"August 21, 2019"
890,Rated 5 stars out of five stars,Lisa Basry,Semuanya fresh diterima,"September 6, 2019"
891,Rated 5 stars out of five stars,Tri Miranti,oke,"July 15, 2019"
892,Rated 5 stars out of five stars,yodam moux,kerennn,"July 15, 2019"
893,Rated 5 stars out of five stars,Ika Farida,terbaik,"July 31, 2019"
894,Rated 5 stars out of five stars,sahara khoirunnisa,gooooddd,"July 29, 2019"
895,Rated 5 stars out of five stars,nurul asna kurniawati,ok,"August 6, 2019"
896,Rated 5 stars out of five stars,Hery Prasetio,Segerrrr,"August 21, 2019"
897,Rated 5 stars out of five stars,Liana Wati,ok,"August 16, 2019"
898,Rated 5 stars out of five stars,Christian Aris,Ok,"August 26, 2019"
899,Rated 5 stars out of five stars,Diastry Winanda,Ok,"August 29, 2019"
900,Rated 5 stars out of five stars,Sabrina Natalia Sitorus,Ok,"August 29, 2019"
901,Rated 5 stars out of five stars,Rizki Yulian,Oke,"September 6, 2019"
902,Rated 5 stars out of five stars,Aulia Sharfina,Mantul,"September 6, 2019"
903,Rated 5 stars out of five stars,nastasya indriani,Ok,"September 12, 2019"
904,Rated 5 stars out of five stars,Stenly Valentino Theo,Mantapppp,"September 20, 2019"
905,Rated 5 stars out of five stars,nunk Q,recoment,"September 26, 2019"
906,Rated 5 stars out of five stars,sri mulyaningsih,Trims,"October 3, 2019"
907,Rated 5 stars out of five stars,Irwan Davis10,Oke,"October 8, 2019"
908,Rated 5 stars out of five stars,Paul Soselisa,clear,"October 20, 2019"
909,Rated 5 stars out of five stars,Risti Laily,"great apps,","July 30, 2019"
910,Rated 5 stars out of five stars,CJ XingXing,👍👍👍👍👍👍,"August 6, 2019"
911,Rated 5 stars out of five stars,rindiatmoko supardi,"Good apps,","September 19, 2019"
912,Rated 5 stars out of five stars,Inggrit Harf,👍👍👍👍👍,"September 12, 2019"
913,Rated 5 stars out of five stars,Joefi Andini,Great!,"October 3, 2019"
914,Rated 5 stars out of five stars,dita osrianti12,Great!!!,"August 27, 2019"
915,Rated 5 stars out of five stars,indah dwi kartika,good app,"July 30, 2019"
916,Rated 5 stars out of five stars,joni anwar,good apps,"July 18, 2019"
917,Rated 5 stars out of five stars,Yuli Supriatin,good quality,"July 22, 2019"
918,Rated 5 stars out of five stars,Franita Puhan,great apps,"October 7, 2019"
919,Rated 5 stars out of five stars,Fifi Ariyadi,so helpful,"July 28, 2019"
920,Rated 5 stars out of five stars,Listy Rizkia,really useful,"August 8, 2019"
921,Rated 5 stars out of five stars,Lov ita,nice service,"August 7, 2019"
922,Rated 5 stars out of five stars,Avika Dwi Cahyaningsih,Great apps,"August 8, 2019"
923,Rated 5 stars out of five stars,Difa Febriyanti,verry nice,"August 12, 2019"
924,Rated 5 stars out of five stars,Arti Winarni,user friendly,"August 13, 2019"
925,Rated 5 stars out of five stars,Aldia Zakiyatul Miskiyah,Great service,"August 13, 2019"
926,Rated 5 stars out of five stars,cclovenutz,Great service,"August 24, 2019"
927,Rated 5 stars out of five stars,Ricky Jayaputra,Good application,"August 22, 2019"
928,Rated 5 stars out of five stars,syara dianita,Good app,"August 20, 2019"
929,Rated 5 stars out of five stars,Titut Afriani,User friendly,"August 26, 2019"
930,Rated 5 stars out of five stars,Diah Ayu Ciptarani,Good apps,"September 1, 2019"
931,Rated 5 stars out of five stars,Joshua Antonio Wahyu Prayogo,Good app,"September 10, 2019"
932,Rated 5 stars out of five stars,Amallah mujahidah,The best,"September 14, 2019"
933,Rated 5 stars out of five stars,Andi Fitriyanto,Great app,"September 13, 2019"
934,Rated 5 stars out of five stars,jc Lie,Very helpful,"September 15, 2019"
935,Rated 5 stars out of five stars,Fitri Yuliana,Good service,"September 16, 2019"
936,Rated 5 stars out of five stars,Nossyn De Rosari,Verry helpfull,"September 24, 2019"
937,Rated 5 stars out of five stars,Northern Downpour,Good service,"September 25, 2019"
938,Rated 5 stars out of five stars,Raissa Dea,Great app,"October 2, 2019"
939,Rated 5 stars out of five stars,ifitrianty,Good app,"October 4, 2019"
940,Rated 5 stars out of five stars,Nandhita Garini,Great app,"October 10, 2019"
941,Rated 5 stars out of five stars,willib wong,brilliant apps,"October 19, 2019"
942,Rated 5 stars out of five stars,Dery Ardinata,Nice app,"October 25, 2019"
943,Rated 5 stars out of five stars,Devi Andriyani,Good application,"October 29, 2019"
944,Rated 5 stars out of five stars,Sri Wayuningsih,good,"July 1, 2019"
945,Rated 5 stars out of five stars,Francisca Cahaya,recommended,"July 4, 2019"
946,Rated 5 stars out of five stars,Pinky Erina,good,"July 17, 2019"
947,Rated 5 stars out of five stars,Dwi Rahayu,satisfied,"July 28, 2019"
948,Rated 5 stars out of five stars,Maeeo Maeeo,goooood,"August 5, 2019"
949,Rated 5 stars out of five stars,Irene Ferita,good,"August 9, 2019"
950,Rated 5 stars out of five stars,Juliana Lukmin,good,"August 27, 2019"
951,Rated 5 stars out of five stars,ayu lestari,Good,"August 21, 2019"
952,Rated 5 stars out of five stars,Ade tri yuliana,good,"August 17, 2019"
953,Rated 5 stars out of five stars,Loly Poppy,nice,"August 19, 2019"
954,Rated 4 stars out of five stars,CJ Aisizy Kienesha,nice,"August 20, 2019"
955,Rated 5 stars out of five stars,Ren Angraeni,Great,"August 23, 2019"
956,Rated 5 stars out of five stars,Lily Herawati,awesome,"August 28, 2019"
957,Rated 5 stars out of five stars,Suci Fajar Ayu,Recommended,"August 29, 2019"
958,Rated 5 stars out of five stars,Anggi Jonathan,Easy,"August 30, 2019"
959,Rated 5 stars out of five stars,GRACE RUNTURAMBI,Great,"September 3, 2019"
960,Rated 5 stars out of five stars,NORADWIVANY AINI,Love it,"September 7, 2019"
961,Rated 5 stars out of five stars,Erva Jambe Strit,good,"September 9, 2019"
962,Rated 5 stars out of five stars,Olivia Susilo,Awesome,"September 8, 2019"
963,Rated 5 stars out of five stars,Lina Prihati,Love it,"September 14, 2019"
964,Rated 5 stars out of five stars,Trisya rahmawati,Excellent,"September 18, 2019"
965,Rated 4 stars out of five stars,Melinda Oktavia,Happy,"September 21, 2019"
966,Rated 5 stars out of five stars,Dian P Wulandari,Great,"September 25, 2019"
967,Rated 5 stars out of five stars,Julistianti Pamela,Good,"September 27, 2019"
968,Rated 5 stars out of five stars,yuhuu yehet,Great,"September 29, 2019"
969,Rated 5 stars out of five stars,Nurhalimah Syafii,best,"October 1, 2019"
970,Rated 5 stars out of five stars,raras triani,Great,"October 1, 2019"
971,Rated 4 stars out of five stars,Fitri Hasdianti,Good,"October 8, 2019"
972,Rated 5 stars out of five stars,Yessy Fitriani,Good,"October 12, 2019"
973,Rated 5 stars out of five stars,dian Mala,Good,"October 15, 2019"
974,Rated 5 stars out of five stars,Dian Wahyu Utami,Great,"October 28, 2019"
975,Rated 5 stars out of five stars,Citra Karina Puspita Loka,Good,"November 1, 2019"
976,Rated 5 stars out of five stars,DEBBY HANDAYANI,"seneng bgt belanja di sayurbox. terutama buat wanita karir yg ga punya waktu buat belanja ke pasar. terbantu bgt deh pokoknya , udah gitu sering ada promo","June 24, 2019"
977,Rated 2 stars out of five stars,Arvi Rashif,kecewa saya... harganya jauh di atas pasar indonesia. ini cita2nya mulia untuk memutus jalur penengah antara petani dan konsumen. tapi harga produknya jauh di atas pasar deket rumah saya,"June 17, 2019"
978,Rated 5 stars out of five stars,firdha intan,thanks sayur box sudah sangat membantu sekali untuk mamak yang belum punya waktu belanja ke pasar,"June 20, 2019"
979,Rated 5 stars out of five stars,Yoanita Wiharjo,"seneng banget bs pilih opsi ga pakai plastik, plus dapet free goodies & pengiriman on time ^^","June 20, 2019"
980,Rated 5 stars out of five stars,Annie yustine,ok banget.. suka ada promo.. gratis ongkir dengan minimal pembelian.. mainkan jari dr hp buah datang.. 👍👍,"June 26, 2019"
981,Rated 5 stars out of five stars,Ruth Sri Andryani Rumahorbo,pengiriman sesuai jadwal yg saya pilih dan kualitas sayur dan buahnya bagus.,"July 14, 2019"
982,Rated 5 stars out of five stars,Yulitania Nurfazri,"Respon sgt baik dan cepat, selalu merasa happy stiap terima pesanan dr sayurbox..","June 27, 2019"
983,Rated 4 stars out of five stars,Sri Sulastri,"mantap, jd mudah mau belanja sayuran dan buah yg berkualitas","July 8, 2019"
984,Rated 5 stars out of five stars,julie meliala,thanks sangat membantu saya utk memenuhi kebutuhan nutrisi dan gizi,"June 11, 2019"
985,Rated 4 stars out of five stars,Georgina Mieke,kalo ada diskon or refund dari pembelian sebelumnya kadang tdk muncul,"June 23, 2019"
986,Rated 4 stars out of five stars,defri l,Kok area bogor tempat saya ga ada pilihan kecamatannya ya?,"June 1, 2019"
987,Rated 5 stars out of five stars,Merry Wangsa,memuaskan udah ga tau pemesanan yg keberapa. sukses selalu,"June 20, 2019"
988,Rated 5 stars out of five stars,Dinda Amalia Rahmadhani,Saat pasar masih tutup usai lebaran. Sayurbox penolong sejati. Suwuun,"June 13, 2019"
989,Rated 5 stars out of five stars,priscilla setyawati,harga terjangkau.. pengiriman bisa diatur.. packing rapi.. produknya bagus,"June 17, 2019"
990,Rated 5 stars out of five stars,Kris Sundaputra,"Kemasan produk rapih, kualitas barang ok (kesegaran terjaga), delivery on time, overall satisfaction","June 13, 2019"
991,Rated 5 stars out of five stars,Rizka Rahmita,Fruits nya tambahkan lagi dong.. Seperti apel anggur dll,"September 2, 2019"
992,Rated 5 stars out of five stars,Widi Kamagi,memudahkan bgt utk belanja sayur2 kualitas bagus,"July 18, 2019"
993,Rated 5 stars out of five stars,Mariamu Frilianty Siahaan,bener2 app yg bs diandalkan. loveeee bgttssss,"June 14, 2019"
994,Rated 5 stars out of five stars,Sella Geo,sangat membantu sekali dan sayurnya segar2,"June 17, 2019"
995,Rated 5 stars out of five stars,A Google user,buah berkualitas pengiriman tepat waktu,"June 15, 2019"
996,Rated 5 stars out of five stars,Irawati Irawati,cepat sampai dan buah segar,"June 16, 2019"
997,Rated 5 stars out of five stars,Ina Mariza,aplikasi gampang digunakan. dan menarik,"June 16, 2019"
998,Rated 5 stars out of five stars,Riri Dwi Darmani,langganan belanja sayur buah disini 👍,"June 18, 2019"
999,Rated 5 stars out of five stars,Myrna Lyza,puas dengan layanan dan barang2nya,"July 2, 2019"
1000,Rated 5 stars out of five stars,desriza gustina,"belanja mudah, kualitas terjamin, cs responsive","June 24, 2019"
1001,Rated 5 stars out of five stars,rima nawangsari,sangat membantu dan informatif.....,"June 16, 2019"
1002,Rated 5 stars out of five stars,Alice Marcell,effortless belanja sayur jaman now,"June 21, 2019"
1003,Rated 5 stars out of five stars,ayu suryadarmasakti,fresh dan terjangkau..pengiriman sesuai jadwal..,"July 8, 2019"
1004,Rated 5 stars out of five stars,Yulia Sahupala,super efficient!,"June 24, 2019"
1005,Rated 4 stars out of five stars,roy optic,okelah,"June 1, 2019"
1006,Rated 5 stars out of five stars,kristina satyagraha,ok,"June 21, 2019"
1007,Rated 5 stars out of five stars,nur fatimah,ok,"July 7, 2019"
1008,Rated 5 stars out of five stars,Mariana Zhou,good app,"June 23, 2019"
1009,Rated 5 stars out of five stars,Henny Nirmala,fresh groceries,"June 28, 2019"
1010,Rated 5 stars out of five stars,Natasya Humaira,good delivery,"July 2, 2019"
1011,Rated 5 stars out of five stars,gadisha putrilla,user friendly,"July 11, 2019"
1012,Rated 5 stars out of five stars,Reinaldy Kambey,great,"June 14, 2019"
1013,Rated 5 stars out of five stars,yulian falufi,fresh,"June 14, 2019"
1014,Rated 5 stars out of five stars,Mira Hartati,good,"June 20, 2019"
1015,Rated 5 stars out of five stars,Ika Widya Ningrum,great,"July 24, 2019"
1016,Rated 1 stars out of five stars,Tatu Hutami,"Buruk sekali dari segi layanan. Paket saya hilang ga ada di gudang. Lalu minta kontak kurir supaya lebih gampang untuk mengambil barangnya, ditunggu sampai satu jam tidak ada juga.","May 31, 2019"
